NData,NBkg,Signal8
308.0,315.5,0.0
299.0,300.0,0.0
275.0,275.25,0.0
269.0,271.5,0.0
249.0,249.5,0.0
212.0,227.5,0.0
212.0,214.75,0.0
202.0,200.5,0.0
201.0,185.5,0.0
196.0,173.5,0.0
185.0,164.75,0.0
191.0,167.75,0.0
176.0,145.5,0.0
166.0,136.25,0.0
135.0,125.75,0.0
129.0,123.0,1.0
113.0,110.0,3.0
95.0,101.25,8.0
92.0,87.75,12.0
90.0,92.25,30.0
78.0,81.25,19.0
83.0,84.0,29.0
63.0,72.25,27.0
85.0,81.5,12.0
74.0,64.0,6.0
71.0,66.5,3.0
53.0,56.5,0.0
67.0,52.75,0.0
48.0,48.25,0.0
43.0,47.75,0.0
